# 《霓虹猎手》游戏文案全表 v3（2026-09-18，对应游戏 v2.24.16）
# 规则：升级版本时，将"修改文本"列中已实施的内容合并进"当前文本"，并清空"修改文本"列（2026-09-18 用户定）
# ${...} 为动态数值占位，修改文案时请保留
区域,场景/键,当前文本,修改文本,备注
顶栏,复位按钮,🔄 复位,,测试设施
顶栏,结束测试按钮,⏹️ 结束测试,,测试设施
顶栏,日志按钮,📋 日志,,测试设施
顶栏,版本标签,V2.24,,
战斗区,倍速按钮·关,⏩ 1×,,仅重塑后+已通过楼层显示
战斗区,倍速按钮·开,⏩ 2×,,
战斗区,倍速提示 toast,已进入未探索楼层，恢复常速,,
战斗区,倍速开启 toast,2 倍速开启（仅限已通过楼层）,,
战斗区,倍速关闭 toast,恢复常速,,
战斗区,楼层标签,第 ${N} 层,,
战斗区,楼层标签·典狱长,· 区域头目,Boss 后缀
战斗区,楼层标签·棱镜,· 监察官·棱镜,逢 10 层 Boss 后缀
战斗区,楼层标签·天枢,· 天枢·零号主机,逢 100 层 Boss 后缀
战斗区,楼层副标,${当前场景},场景名：工业层/数据机房/维修层/货运层/高空中庭/棱镜核心
战斗区,击杀进度,敌人 ${n}/6,,
战斗区,击杀进度·受阻,· ⚠️ 受阻,,
战斗区,暴击飘字前缀,暴击 ,,
战斗区,破盾飘字,破盾！,,
面板,强化栏标题,强化,,
面板,技能栏标题,技能,,
面板,义体栏标题,义体 (自动装备),,
面板,重塑栏标题,重塑,,
面板,补给栏标题,补给,,
面板,攻击升级按钮,攻击 Lv.${n} → Lv.${n+1} · 攻击 ${a}→${b} · ${费用},,
面板,生命升级按钮,生命 Lv.${n} → Lv.${n+1} · 生命 ${a}→${b} · ${费用},,
面板,技能空态,尚未获得,,
面板,碎片行,本循环已掉落碎片：${N},,
面板,碎片说明,死亡受阻时选「重塑」→ 掉落转为可用 · 装备回收为信用点,,
面板,树锁定提示,🔒 首次重塑后解锁,,图标=locked.svg
面板,树按钮·伤害增幅,伤害增幅 Lv.${n} → Lv.${n+1} · 攻击力增加 +${a}%→+${b}%,,
面板,树按钮·信用点优化,信用点优化 Lv.${n} → Lv.${n+1} · 信用点增加 +${a}%→+${b}%,,
面板,树按钮·灵魂共鸣,灵魂共鸣 Lv.${n} → Lv.${n+1} · 碎片掉落增加 +${a}%→+${b}%,,
面板,补给冷却,下一补给箱：${N} 分钟后,,
面板,补给就绪,补给箱已就绪！,,
面板,补给按钮,开补给箱（▶广告）,图标=watch-ad.svg
装备,合成按钮,合成 3×${品质} → 1×${品质+1},品质名按品质色着色，图标=synthesis.svg
装备,拆解按钮,拆解低品质 ${N} 件 → +${价值},图标=equipment-recycle.svg
装备,部位名·武器,义体武器,,
装备,部位名·插件,神经插件,,
装备,部位名·装甲,皮下装甲,,
装备,部位名·芯片,芯片,,
装备,部位加成·武器,攻击,,
装备,部位加成·插件,攻速,,
装备,部位加成·装甲,生命,,
装备,部位加成·芯片,信用点,,
装备,品质名 q0-q7,民用/改装/制式/精制/传说/神话/永恒/不朽,,
装备,自动装备 toast,自动装备 ${品质}·${部位},,
装备,获得装备 toast,获得 ${品质}·${部位},,
装备,合成 toast,合成完成 ×${n}（已装备升阶）,,
装备,拆解 toast,拆解低品质装备 ${n} 件 → +${价值} 信用点,,v2.24.17 已同步
装备,词条名,暴击+5% / 攻速+10% / 吸血+3%,,
弹窗,行动受阻标题,[图标] 行动受阻,图标=movement-blocked.svg
弹窗,行动受阻正文,猎手在第 ${N} 层被压制了。「重塑」换一具更强的克隆体（本循环已掉落 ${N} 碎片将转为可用，装备回收为信用点带入新局）。,v2.21 死因删除 / v2.22 死亡必重塑单按钮
弹窗,受阻·重塑按钮,[图标] 重塑（结算本循环）,图标=reshape.svg
弹窗,重塑结算标题,[图标] 重塑完成,图标=reshape.svg
弹窗,重塑结算正文,人格已备份，克隆体上线。本循环战果结算：,,
弹窗,结算·碎片行,[图标] 掉落碎片转换（Boss 掉落）+${N},图标=soul-shard.svg
弹窗,结算·装备行,[图标] 装备回收（身上+背包 ${n} 件 · 15% 回收率）+${价值},图标=equipment-recycle.svg
弹窗,结算·携带行,新开局携带 ${价值},,
弹窗,结算·广告按钮,▶ 看广告：碎片 ×2（+${N}）,v2.22 广告收益改碎片×2；图标=watch-ad.svg
弹窗,结算·收下按钮,收下，进入新开局,,
弹窗,技能三选一·属性池标题,🎯 神经技能 · 三选一,10 层常驻属性池
弹窗,技能三选一·属性池正文,突破第 ${N} 层！选择一项属性强化,,
弹窗,技能三选一·触发池标题,⚡ 神经技能 · 三选一,5 层条件触发器池
弹窗,技能三选一·触发池正文,中继站接入完成！选择一项技能强化,,
弹窗,习得技能 toast,习得技能：${技能名},,
弹窗,复位确认标题,🔄 确认复位？,,
弹窗,复位确认正文,清空全部进度（楼层/金币/碎片/加成树），重新开始测试。,,
弹窗,复位确认按钮,确认复位 / 取消,,
弹窗,清除存档标题,⚠️ 清除存档,,
弹窗,清除存档正文,确定要清空全部进度吗？此操作不可恢复。,,
弹窗,清除存档按钮,确认清除并开始新游戏 / 取消,,
封面,开始·有存档,▶ 进入夜城 · 继续第 ${N} 层 · 自动保存,,
封面,开始·无存档,▶ 开始游戏 · 新的猎杀 · 自动保存,,
提示,树未解锁 toast,加成树在首次重塑后解锁,,
提示,补给冷却 toast,补给箱冷却中（${N} 分钟）,,
提示,补给获得 toast,补给箱：+${收益} 信用点,,
提示,复位完成 toast,已完全复位，新测试段 ${ID} 开始,,
技能·常驻,overclock 战斗超频,暴击率 +10%（可叠加）,10 层池
技能·常驻,fatal 致命固件,暴击伤害 +50%,,
技能·常驻,neuro 神经加速,攻速 +15%,,
技能·常驻,fire 火力协议,攻击 +25%,,
技能·常驻,subdermal 皮下加固,生命 +30%,,
技能·常驻,nano 纳米修复,吸血 +5%,,
技能·常驻,shield 应急护盾,战斗开始获得 10% 最大生命护盾（每场刷新）,,
技能·常驻,blackmarket 黑市渠道,信用点 +30%,,
技能·常驻,resonance 碎片共鸣,Boss 碎片掉落 +10%,v2.19 改造
技能·触发,killcycle 杀戮循环,暴击后攻速 +20%，持续 3 秒,5 层池
技能·触发,adrenaline 肾上腺素,生命低于 50% 时攻速 +30%,v2.19.1 触发条件改低血
技能·触发,critsurge 狂暴节奏,暴击后攻速 +30%，持续 5 秒,,
技能·触发,ghoststep 光学迷彩,击杀后无敌 2 秒,v2.19.3 计时起点=新敌就位
技能·触发,lowhp 困兽协议,生命低于 30% 时伤害 +40%,v2.19.1 新增
技能·触发,soulrush 猎手直觉,破盾后攻速 +25%，持续 4 秒,v2.19.1 新增
加成树,dmg 伤害增幅,+5% 伤害/级,成本=等级+1
加成树,gold 信用点优化,+10% 信用点/级,,
加成树,soul 灵魂共鸣,+10% 碎片掉落/级,,
日志抽屉,标题,📋 测试日志 / 收起 ✕,测试设施
日志抽屉,空态,暂无测试段,,
日志抽屉,封存弹窗标题,⏹️ 测试段 ${ID} 已封存,,
日志抽屉,封存按钮,存入 logs 文件夹 / 导出楼层 CSV / 继续游戏,,
已删除,离线收益全部文案,🌙 欢迎回来/离线 X 小时/收下等,v2.22 系统整体移除
已删除,离线协议树按钮,离线协议 Lv.x · 离线收益增加,v2.22 分支删除
已删除,受阻死因诊断,死因：站不住/输出超时,v2.21 删除
已删除,继续硬磨按钮,💪 继续硬磨,v2.22 死亡必重塑
已删除,Boss 预估,⚔️ 预估承伤/✓可胜,v2.23 删除
已删除,技能·电弧溅射/赏金协议/过载冲击,—,v2.19 删除
