# 《霓虹猎手》技能全表 v2（2026-09-17，用户修订：取消临时/永久说法，按触发方式分类；全部技能单循环生效、重塑清空）
# 手动修改后请递增文件名版本号（技能表-v3.csv…），并在备注列记录改动原因
类别,键,名称,效果描述,数值/级,叠加规则,获得途径,当前状态,备注
10层常驻,overclock,战斗超频,暴击率 +10%,10%,同名叠加无上限,f10/20/30…棱镜层三选一,正常,
10层常驻,fatal,致命固件,暴击伤害 +50%,50%,同名叠加无上限,同上,正常,
10层常驻,neuro,神经加速,攻速 +15%,15%,同名叠加无上限,同上,正常,
10层常驻,fire,火力协议,攻击 +25%,25%,同名叠加无上限,同上,正常,
10层常驻,subdermal,皮下加固,生命 +30%,30%,同名叠加无上限,同上,正常,
10层常驻,nano,纳米修复,吸血 +5%,5%,同名叠加无上限,同上,正常,真人测试 meta 偏好（S22/S24/S59/S61 均首选）
10层常驻,shield,应急护盾,护盾 10% 最大生命（每场刷新）,10%,同名叠加无上限,同上,正常,v2.18 起护盾独立横条显示
10层常驻,blackmarket,黑市渠道,信用点 +30%,30%,同名叠加无上限,同上,正常,
10层常驻,resonance,碎片共鸣,Boss 碎片掉落 +10%,10%,同名叠加无上限,同上,正常,✅已定案（用户 16:39）：失效技能改造为掉落增益，与树·灵魂共鸣可叠加
5层触发器,critsurge,狂暴节奏,暴击后攻速 +30% 持续 5 秒,30%,重复选取强化效果,f5/15/25…中庭层三选一,正常,暴击→触发
5层触发器,ghoststep,光学迷彩,击杀后无敌 2 秒,2 秒,同上,同上,正常,击杀→触发
5层触发器,killcycle,杀戮循环,暴击后攻速 +20% 持续 3 秒,20%,同上,同上,正常,暴击→触发（v2 从 10 层移入）
5层触发器,adrenaline,肾上腺素,生命低于 50% 时攻速 +30%,30%,同上,同上,正常,⚠️v2.19.1 触发条件改低血50%（用户 17:10）
5层触发器,lowhp,困兽协议,生命低于 30% 时伤害 +40%,+40%,同上,同上,✅正式 v2.19.1 已上线,低血→触发（候选转正，用户 17:10）
5层触发器,soulrush,猎手直觉,破盾后攻速 +25% 持续 4 秒,+25%,同上,同上,✅正式 v2.19.1 已上线,破盾→触发（候选转正，联动 Boss 护盾）
已删除,arc,电弧溅射,—,—,—,—,已删除,v2 删除（图文不符）
已删除,bounty,赏金协议,—,—,—,—,已删除,v2 删除（非触发型，不符合 5 层定位）
已删除,overload,过载冲击,—,—,—,—,已删除,v2 删除（同上）
加成树,dmg,伤害增幅,攻击力增加,+5%/级,成本=等级+1 无上限,碎片消费（首次重塑后解锁）,正常,跨循环永久（树不受循环清空影响）
加成树,gold,信用点优化,信用点增加,+10%/级,同上,同上,正常,
加成树,offline,离线协议,离线收益增加,+10%/级,同上,同上,正常,
加成树,soul,灵魂共鸣,碎片掉落增加（乘 Boss 掉落）,+10%/级,同上,同上,正常,
