# 《霓虹猎手》游戏文案全表 v2（2026-09-18，用户手动修订，含"修改文本"列；待同步回游戏）,,,,
# 手动修改后请递增文件名版本号（文案表-v2.csv…）；需同步回游戏时说一声,,,,
# ${...} 为动态数值占位，修改文案时请保留,,,,
区域,场景/键,当前文本,修改文本,备注
顶栏,复位按钮,🔄 复位,,正式发布版本隐藏
顶栏,结束测试按钮,⏹️ 结束测试,,正式发布版本隐藏
顶栏,日志按钮,📋 日志,,正式发布版本隐藏
顶栏,版本标签,v2.20 · 护盾白色光环 · 倍速按钮入战斗区 · 技能双池 · Boss护盾 · 日志自动落盘,V2.20,
战斗区,倍速按钮·关,⏩ 1×,,仅重塑后+已通过楼层显示
战斗区,倍速按钮·开,⏩ 2×,,
战斗区,倍速提示 toast,已进入未探索楼层，恢复常速,,
战斗区,倍速开启 toast,2 倍速开启（仅限已通过楼层）,,
战斗区,倍速关闭 toast,恢复常速,,
战斗区,楼层标签,第 ${N} 层,,
战斗区,楼层标签·典狱长,· 区域头目,,Boss 后缀
战斗区,楼层标签·棱镜,· 监察官·棱镜,,Boss 后缀
战斗区,楼层副标,${当前场景} · 下一层：${下一场景},${当前场景} ,场景名：工业层/数据机房/维修层/货运层/高空中庭/棱镜核心
战斗区,击杀进度,敌人 ${n}/6,,
战斗区,击杀进度·受阻,· ⚠️ 受阻,,
战斗区,Boss 预估,⚔️ 预估承伤 ~${承伤} / 生命 ${生命},,
战斗区,Boss 预估·凶险,⚠️ 凶险——强化生命或提升火力,,
战斗区,Boss 预估·可胜,✓ 可胜,,
战斗区,暴击飘字前缀,暴击 ,,
战斗区,破盾飘字,破盾！,,
面板,强化栏标题,强化,,
面板,技能栏标题,技能,,
面板,义体栏标题,义体 (自动装备 · 背包为合成材料),义体 (自动装备 ),
面板,重塑栏标题,重塑,,
面板,补给栏标题,补给,,
面板,攻击升级按钮,攻击 Lv.${n} → Lv.${n+1} · 攻击 ${a}→${b} · ${费用},,
面板,生命升级按钮,生命 Lv.${n} → Lv.${n+1} · 生命 ${a}→${b} · ${费用},,
面板,技能空态,尚未获得（5 层触发型 / 10 层属性型，三选一，同名叠加）,尚未获得,
面板,碎片行,本循环已掉落碎片：${N},,
面板,碎片说明,死亡受阻时选「重塑」→ 掉落转为可用 · 装备回收为信用点,死亡受阻时选「重塑」→ 掉落转为可用 · 装备回收为信用点,
面板,树锁定提示,🔒 首次重塑后解锁加成树（本循环已掉落 ${N} 枚）,🔒首次重塑后解锁,
面板,树按钮·伤害增幅,伤害增幅 Lv.${n} → Lv.${n+1} · 攻击力增加 +${a}%→+${b}%,,
面板,树按钮·信用点优化,信用点优化 Lv.${n} → Lv.${n+1} · 信用点增加 +${a}%→+${b}%,,
面板,树按钮·离线协议,离线协议 Lv.${n} → Lv.${n+1} · 离线收益增加 +${a}%→+${b}%,,
